H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & Sr-81     & 1.000E-99 & \\ 
 & Sr-82     & 1.000E-99 & \\ 
 & Sr-83     & 1.000E-99 & \\ 
 & Sr-84     & 5.131E-13 & \\ 
 & Sr-85     & 9.641E-16 & \\ 
 & Sr-86     & 6.811E-09 & \\ 
 & Sr-87     & 6.447E-10 & \\ 
 & Sr-88     & 3.209E-08 & \\ 
 & Sr-89     & 1.233E-09 & \\ 
 & Sr-90     & 4.458E-09 & \\ 
 & Sr-91     & 3.226E-18 & \\ 
 & Sr-92     & 5.118E-21 & \\ 
 & Sr-93     & 5.227E-29 & \\ 
 & Sr-94     & 2.246E-38 & \\ 
 & Y-85      & 1.000E-99 & \\ 
 & Y-86      & 1.000E-99 & \\ 
 & Y-87      & 1.000E-99 & \\ 
 & Y-88      & 1.000E-99 & \\ 
 & Y-89      & 6.518E-09 & \\ 
 & Y-90      & 1.135E-12 & \\ 
 & Y-91      & 2.720E-10 & \\ 
 & Y-92      & 5.749E-20 & \\ 
 & Y-93      & 1.143E-18 & \\ 
 & Y-94      & 2.584E-26 & \\ 
 & Y-95      & 7.195E-28 & \\ 
 & Y-96      & 3.660E-44 & \\ 
 & Zr-86     & 1.000E-99 & \\ 
 & Zr-87     & 1.000E-99 & \\ 
 & Zr-88     & 1.000E-99 & \\ 
 & Zr-89     & 7.282E-30 & \\ 
 & Zr-90     & 5.148E-10 & \\ 
 & Zr-91     & 1.072E-09 & \\ 
 & Zr-92     & 1.824E-09 & \\ 
 & Zr-93     & 6.511E-10 & \\ 
 & Zr-94     & 1.592E-09 & \\ 
 & Zr-95     & 1.510E-10 & \\ 
 & Zr-96     & 2.754E-09 & \\ 
 & Zr-97     & 1.772E-17 & \\ 
 & Zr-98     & 6.747E-34 & \\ 
 & Nb-89     & 1.000E-99 & \\ 
 & Nb-90     & 1.000E-99 & \\ 
 & Nb-91     & 1.000E-99 & \\ 
 & Nb-92     & 1.000E-99 & \\ 
 & Nb-93     & 3.069E-12 & \\ 
 & Nb-94     & 3.282E-14 & \\ 
 & Nb-95     & 1.140E-10 & \\ 
 & Nb-96     & 2.405E-18 & \\ 
 & Nb-97     & 1.359E-18 & \\ 
 & Nb-98     & 4.831E-25 & \\ 
 & Nb-99     & 8.382E-34 & \\ 
 & Mo-90     & 1.000E-99 & \\ 
 & Mo-91     & 1.000E-99 & \\ 
 & Mo-92     & 2.062E-12 & \\ 
 & Mo-93     & 1.150E-13 & \\ 
 & Mo-94     & 2.472E-12 & \\ 
 & Mo-95     & 3.292E-10 & \\ 
 & Mo-96     & 2.411E-11 & \\ 
 & Mo-97     & 1.869E-10 & \\ 
 & Mo-98     & 2.734E-10 & \\ 
 & Mo-99     & 1.468E-15 & \\ 
 & Mo-100    & 1.347E-10 & \\ 
 & Mo-101    & 6.680E-27 & \\ 
 & Mo-102    & 2.295E-28 & \\ 
 & Tc-93     & 1.000E-99 & \\ 
 & Tc-94     & 1.000E-99 & \\ 
 & Tc-95     & 1.000E-99 & \\ 
 & Tc-96     & 1.000E-99 & \\ 
 & Tc-97     & 6.767E-15 & \\ 
 & Tc-98     & 2.352E-15 & \\ 
 & Tc-99     & 6.883E-11 & \\ 
 & Tc-100    & 2.822E-28 & \\ 
 & Tc-101    & 1.416E-26 & \\ 
 & Tc-102    & 1.478E-28 & \\ 
 & Tc-103    & 3.313E-40 & \\ 
 & Tc-104    & 5.450E-29 & \\ 
 & Tc-105    & 1.322E-30 & \\ 
 & Ru-94     & 1.000E-99 & \\ 
 & Ru-95     & 1.000E-99 & \\ 
 & Ru-96     & 4.792E-13 & \\ 
 & Ru-97     & 6.446E-20 & \\ 
 & Ru-98     & 1.926E-13 & \\ 
 & Ru-99     & 1.113E-12 & \\ 
 & Ru-100    & 4.488E-11 & \\ 
 & Ru-101    & 2.685E-11 & \\ 
 & Ru-102    & 1.314E-10 & \\ 
 & Ru-103    & 1.801E-15 & \\ 
 & Ru-104    & 7.497E-11 & \\ 
 & Ru-105    & 1.096E-21 & \\ 
 & Ru-106    & 3.850E-11 & \\ 
 & Rh-98     & 1.000E-99 & \\ 
 & Rh-99     & 1.000E-99 & \\ 
 & Rh-100    & 1.000E-99 & \\ 
 & Rh-101    & 1.000E-99 & \\ 
 & Rh-102    & 1.000E-99 & \\ 
 & Rh-103    & 3.768E-11 & \\ 
 & Rh-104    & 4.273E-28 & \\ 
 & Rh-105    & 5.520E-17 & \\ 
 & Rh-106    & 3.923E-17 & \\ 
 & Rh-107    & 5.745E-27 & \\ 
 & Rh-108    & 6.359E-31 & \\ 
 & Pd-99     & 1.000E-99 & \\ 
 & Pd-100    & 1.000E-99 & \\ 
 & Pd-101    & 1.000E-99 & \\ 
 & Pd-102    & 6.739E-14 & \\ 
 & Pd-103    & 2.680E-18 & \\ 
 & Pd-104    & 2.866E-11 & \\ 
 & Pd-105    & 2.569E-11 & \\ 
