H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Zr-94     & 2.763E-09 & \\ 
 & Zr-95     & 0.000E+00 & \\ 
 & Zr-96     & 4.470E-10 & \\ 
 & Zr-97     & 0.000E+00 & \\ 
 & Zr-98     & 0.000E+00 & \\ 
 & Nb-89     & 0.000E+00 & \\ 
 & Nb-90     & 0.000E+00 & \\ 
 & Nb-91     & 0.000E+00 & \\ 
 & Nb-92     & 0.000E+00 & \\ 
 & Nb-93     & 9.416E-10 & \\ 
 & Nb-94     & 4.868E-15 & \\ 
 & Nb-95     & 0.000E+00 & \\ 
 & Nb-96     & 0.000E+00 & \\ 
 & Nb-97     & 0.000E+00 & \\ 
 & Nb-98     & 0.000E+00 & \\ 
 & Nb-99     & 0.000E+00 & \\ 
 & Mo-90     & 0.000E+00 & \\ 
 & Mo-91     & 0.000E+00 & \\ 
 & Mo-92     & 5.028E-10 & \\ 
 & Mo-93     & 2.737E-13 & \\ 
 & Mo-94     & 3.237E-10 & \\ 
 & Mo-95     & 5.688E-10 & \\ 
 & Mo-96     & 6.152E-10 & \\ 
 & Mo-97     & 3.497E-10 & \\ 
 & Mo-98     & 9.021E-10 & \\ 
 & Mo-99     & 0.000E+00 & \\ 
 & Mo-100    & 3.553E-10 & \\ 
 & Mo-101    & 0.000E+00 & \\ 
 & Mo-102    & 0.000E+00 & \\ 
 & Tc-93     & 0.000E+00 & \\ 
 & Tc-94     & 0.000E+00 & \\ 
 & Tc-95     & 0.000E+00 & \\ 
 & Tc-96     & 0.000E+00 & \\ 
 & Tc-97     & 4.706E-14 & \\ 
 & Tc-98     & 1.458E-14 & \\ 
 & Tc-99     & 4.392E-12 & \\ 
 & Tc-100    & 0.000E+00 & \\ 
 & Tc-101    & 0.000E+00 & \\ 
 & Tc-102    & 0.000E+00 & \\ 
 & Tc-103    & 0.000E+00 & \\ 
 & Tc-104    & 0.000E+00 & \\ 
 & Tc-105    & 0.000E+00 & \\ 
 & Ru-94     & 0.000E+00 & \\ 
 & Ru-95     & 0.000E+00 & \\ 
 & Ru-96     & 1.450E-10 & \\ 
 & Ru-97     & 0.000E+00 & \\ 
 & Ru-98     & 5.002E-11 & \\ 
 & Ru-99     & 3.442E-10 & \\ 
 & Ru-100    & 3.596E-10 & \\ 
 & Ru-101    & 4.729E-10 & \\ 
 & Ru-102    & 9.008E-10 & \\ 
 & Ru-103    & 0.000E+00 & \\ 
 & Ru-104    & 5.287E-10 & \\ 
 & Ru-105    & 0.000E+00 & \\ 
 & Ru-106    & 0.000E+00 & \\ 
 & Rh-98     & 0.000E+00 & \\ 
 & Rh-99     & 0.000E+00 & \\ 
 & Rh-100    & 0.000E+00 & \\ 
 & Rh-101    & 0.000E+00 & \\ 
 & Rh-102    & 0.000E+00 & \\ 
 & Rh-103    & 5.266E-10 & \\ 
 & Rh-104    & 0.000E+00 & \\ 
 & Rh-105    & 0.000E+00 & \\ 
 & Rh-106    & 0.000E+00 & \\ 
 & Rh-107    & 0.000E+00 & \\ 
 & Rh-108    & 0.000E+00 & \\ 
 & Pd-99     & 0.000E+00 & \\ 
 & Pd-100    & 0.000E+00 & \\ 
 & Pd-101    & 0.000E+00 & \\ 
 & Pd-102    & 2.101E-11 & \\ 
 & Pd-103    & 0.000E+00 & \\ 
 & Pd-104    & 2.472E-10 & \\ 
 & Pd-105    & 4.769E-10 & \\ 
 & Pd-106    & 6.018E-10 & \\ 
 & Pd-107    & 3.375E-12 & \\ 
 & Pd-108    & 5.981E-10 & \\ 
 & Pd-109    & 0.000E+00 & \\ 
 & Pd-110    & 2.613E-10 & \\ 
 & Pd-111    & 0.000E+00 & \\ 
 & Pd-112    & 0.000E+00 & \\ 
 & Ag-101    & 0.000E+00 & \\ 
 & Ag-102    & 0.000E+00 & \\ 
 & Ag-103    & 0.000E+00 & \\ 
 & Ag-104    & 0.000E+00 & \\ 
 & Ag-105    & 0.000E+00 & \\ 
 & Ag-106    & 0.000E+00 & \\ 
 & Ag-107    & 3.882E-10 & \\ 
 & Ag-108    & 0.000E+00 & \\ 
 & Ag-109    & 3.737E-10 & \\ 
 & Ag-110    & 0.000E+00 & \\ 
 & Ag-111    & 0.000E+00 & \\ 
 & Ag-112    & 0.000E+00 & \\ 
 & Ag-113    & 0.000E+00 & \\ 
 & Cd-102    & 0.000E+00 & \\ 
