H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Kr-88     & 1.000E-99 & \\ 
 & Kr-89     & 1.000E-99 & \\ 
 & Kr-90     & 1.000E-99 & \\ 
 & Rb-79     & 1.000E-99 & \\ 
 & Rb-80     & 1.000E-99 & \\ 
 & Rb-81     & 1.000E-99 & \\ 
 & Rb-82     & 1.000E-99 & \\ 
 & Rb-83     & 1.000E-99 & \\ 
 & Rb-84     & 1.190E-30 & \\ 
 & Rb-85     & 1.634E-10 & \\ 
 & Rb-86     & 2.525E-31 & \\ 
 & Rb-87     & 4.319E-10 & \\ 
 & Rb-88     & 2.500E-36 & \\ 
 & Rb-89     & 1.000E-99 & \\ 
 & Rb-90     & 1.000E-99 & \\ 
 & Rb-91     & 1.000E-99 & \\ 
 & Sr-80     & 1.000E-99 & \\ 
 & Sr-81     & 1.000E-99 & \\ 
 & Sr-82     & 1.000E-99 & \\ 
 & Sr-83     & 1.000E-99 & \\ 
 & Sr-84     & 3.189E-13 & \\ 
 & Sr-85     & 5.052E-33 & \\ 
 & Sr-86     & 7.453E-11 & \\ 
 & Sr-87     & 3.401E-11 & \\ 
 & Sr-88     & 1.075E-09 & \\ 
 & Sr-89     & 1.119E-31 & \\ 
 & Sr-90     & 1.236E-11 & \\ 
 & Sr-91     & 6.198E-38 & \\ 
 & Sr-92     & 1.000E-99 & \\ 
 & Sr-93     & 1.000E-99 & \\ 
 & Sr-94     & 1.000E-99 & \\ 
 & Y-85      & 1.000E-99 & \\ 
 & Y-86      & 1.000E-99 & \\ 
 & Y-87      & 1.000E-99 & \\ 
 & Y-88      & 1.000E-99 & \\ 
 & Y-89      & 3.219E-10 & \\ 
 & Y-90      & 3.145E-15 & \\ 
 & Y-91      & 2.990E-31 & \\ 
 & Y-92      & 1.000E-99 & \\ 
 & Y-93      & 1.000E-99 & \\ 
 & Y-94      & 1.000E-99 & \\ 
 & Y-95      & 1.000E-99 & \\ 
 & Y-96      & 1.000E-99 & \\ 
 & Zr-86     & 1.000E-99 & \\ 
 & Zr-87     & 1.000E-99 & \\ 
 & Zr-88     & 1.000E-99 & \\ 
 & Zr-89     & 1.000E-99 & \\ 
 & Zr-90     & 2.212E-10 & \\ 
 & Zr-91     & 7.566E-11 & \\ 
 & Zr-92     & 1.650E-10 & \\ 
 & Zr-93     & 4.793E-11 & \\ 
 & Zr-94     & 1.367E-10 & \\ 
 & Zr-95     & 8.076E-30 & \\ 
 & Zr-96     & 2.942E-10 & \\ 
 & Zr-97     & 7.413E-34 & \\ 
 & Zr-98     & 1.000E-99 & \\ 
 & Nb-89     & 1.000E-99 & \\ 
 & Nb-90     & 1.000E-99 & \\ 
 & Nb-91     & 3.394E-32 & \\ 
 & Nb-92     & 1.000E-99 & \\ 
 & Nb-93     & 1.880E-12 & \\ 
